"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0400000US27","Minnesota","5527358","*****"
"0400000US28","Mississippi","2988762","*****"
"0400000US29","Missouri","6090062","*****"
"0400000US30","Montana","1041732","*****"
"0400000US31","Nebraska","1904760","*****"
"0400000US32","Nevada","2922849","*****"
"0400000US33","New Hampshire","1343622","*****"
"0400000US34","New Jersey","8881845","*****"
"0400000US35","New Mexico","2092434","*****"
"0400000US36","New York","19618453","*****"
"0400000US37","North Carolina","10155624","*****"
"0400000US38","North Dakota","752201","*****"
"0400000US39","Ohio","11641879","*****"
"0400000US40","Oklahoma","3918137","*****"
"0400000US41","Oregon","4081943","*****"
"0400000US42","Pennsylvania","12791181","*****"
"0400000US44","Rhode Island","1056611","*****"
"0400000US45","South Carolina","4955925","*****"
"0400000US46","South Dakota","864289","*****"
"0400000US47","Tennessee","6651089","*****"
"0400000US48","Texas","27885195","*****"
"0400000US49","Utah","3045350","*****"
"0400000US50","Vermont","624977","*****"
"0400000US51","Virginia","8413774","*****"
"0400000US54","West Virginia","1829054","*****"
"0400000US53","Washington","7294336","*****"
"0400000US55","Wisconsin","5778394","*****"
"0400000US56","Wyoming","581836","*****"
"0400000US72","Puerto Rico","3386941","*****"
"0400000US01","Alabama","4864680","*****"
"0400000US02","Alaska","738516","*****"
"0400000US04","Arizona","6946685","*****"
"0400000US05","Arkansas","2990671","*****"
"0400000US06","California","39148760","*****"
"0400000US08","Colorado","5531141","*****"
"0400000US09","Connecticut","3581504","*****"
"0400000US10","Delaware","949495","*****"
"0400000US11","District of Columbia","684498","*****"
"0400000US12","Florida","20598139","*****"
"0400000US13","Georgia","10297484","*****"
"0400000US16","Idaho","1687809","*****"
"0400000US15","Hawaii","1422029","*****"
"0400000US17","Illinois","12821497","*****"
"0400000US18","Indiana","6637426","*****"
"0400000US19","Iowa","3132499","*****"
"0400000US20","Kansas","2908776","*****"
"0400000US21","Kentucky","4440204","*****"
"0400000US22","Louisiana","4663616","*****"
"0400000US23","Maine","1332813","*****"
"0400000US24","Maryland","6003435","*****"
"0400000US25","Massachusetts","6830193","*****"
"0400000US26","Michigan","9957488","*****"
